project_id,constituency,work_description,vendor_id,vendor_bank_acc,vendor_ip_address,sanctioned_amount_inr,invoiced_amount_inr,latitude,longitude,sanction_date,is_fraud_label,anomaly_reason
MPLAD_2026_10031,Nagpur,Public Library Building,VEND_1009,BANK_ACC_81482,192.168.1.188,1342311,1342311,18.442126,73.768576,2025-05-17,0,None
MPLAD_2026_10032,Nashik,Drinking Water Pipeline Installation,VEND_1016,BANK_ACC_38657,192.168.1.22,413066,1295112,18.455336,73.700709,2025-11-24,1,Price Inflation Outlier
MPLAD_2026_10033,Kolhapur,Installation of Solar Streetlights,VEND_1028,BANK_ACC_87236,192.168.1.19,1993848,1993848,18.422375,73.88901,2025-03-19,0,None
MPLAD_2026_10034,Nashik,Construction of Community Hall,VEND_1023,BANK_ACC_95181,192.168.1.222,821150,821150,18.408366,73.77293,2025-01-22,0,None
MPLAD_2026_10035,Kolhapur,Installation of Solar Streetlights,VEND_1015,BANK_ACC_22280,192.168.1.98,631147,631147,18.511977,73.874943,2025-03-22,0,None
MPLAD_2026_10036,Satara,Installation of Solar Streetlights,VEND_1011,BANK_ACC_87397,192.168.1.139,1929288,6954787,18.466437,73.886163,2025-05-09,1,Price Inflation Outlier
MPLAD_2026_10037,Kolhapur,Installation of Solar Streetlights,VEND_1006,BANK_ACC_77777,192.168.1.99,1804496,1804496,18.571719,73.744487,2025-08-25,1,Vendor Cartel Cluster
MPLAD_2026_10038,Kolhapur,Concrete Road Construction,VEND_1014,BANK_ACC_13905,192.168.1.238,1135009,3166328,18.465652,73.872871,2025-05-24,1,Price Inflation Outlier
MPLAD_2026_10039,Kolhapur,Supply of Benches to Public Park,VEND_1032,BANK_ACC_65392,192.168.1.199,1876372,1876372,28.675408,77.152243,2025-10-26,1,GPS Geofence Violation
MPLAD_2026_10040,Kolhapur,Construction of Community Hall,VEND_1006,BANK_ACC_77777,192.168.1.99,2022692,2022692,18.557286,73.787279,2025-03-02,1,Vendor Cartel Cluster
MPLAD_2026_10041,Sangli,Public Library Building,VEND_1012,BANK_ACC_65302,192.168.1.33,1268383,4000589,18.503984,73.861302,2025-12-11,1,Price Inflation Outlier
MPLAD_2026_10042,Satara,Concrete Road Construction,VEND_1027,BANK_ACC_68878,192.168.1.182,493491,493491,18.584154,73.824631,2025-03-06,0,None
MPLAD_2026_10043,Nagpur,Concrete Road Construction,VEND_1032,BANK_ACC_65392,192.168.1.199,1497233,1497233,18.465237,73.839442,2025-04-10,0,None
MPLAD_2026_10044,Sangli,Supply of Benches to Public Park,VEND_1024,BANK_ACC_81426,192.168.1.94,929923,929923,28.557383,77.185978,2025-10-25,1,GPS Geofence Violation
MPLAD_2026_10045,Nashik,Supply of Benches to Public Park,VEND_1020,BANK_ACC_13478,192.168.1.162,2150301,2150301,18.535125,73.802235,2025-03-29,0,None
MPLAD_2026_10046,Nagpur,Construction of Community Hall,VEND_1018,BANK_ACC_76237,192.168.1.77,2361962,2361962,18.523852,73.718677,2025-05-02,0,None
MPLAD_2026_10047,Nagpur,Concrete Road Construction,VEND_1014,BANK_ACC_13905,192.168.1.238,1035211,1035211,18.409243,73.896787,2025-02-08,0,None
MPLAD_2026_10048,Sangli,Drinking Water Pipeline Installation,VEND_1036,BANK_ACC_38221,192.168.1.220,1015520,1015520,18.476796,73.779931,2025-12-20,0,None
MPLAD_2026_10049,Pune,Construction of Community Hall,VEND_1027,BANK_ACC_68878,192.168.1.182,1117886,1117886,28.54984,77.269667,2025-08-23,1,GPS Geofence Violation
MPLAD_2026_10050,Satara,Drinking Water Pipeline Installation,VEND_1033,BANK_ACC_54597,192.168.1.76,1530844,1530844,18.578285,73.82253,2025-09-17,0,None
MPLAD_2026_10051,Sangli,Public Library Building,VEND_1028,BANK_ACC_87236,192.168.1.19,867556,867556,18.494935,73.751838,2025-11-24,0,None
MPLAD_2026_10052,Kolhapur,Public Library Building,VEND_1031,BANK_ACC_30926,192.168.1.60,1203469,1203469,18.415497,73.757146,2025-06-14,0,None
MPLAD_2026_10053,Nashik,Construction of Community Hall,VEND_1008,BANK_ACC_98696,192.168.1.13,832629,832629,28.58152,77.208522,2025-08-02,1,GPS Geofence Violation
MPLAD_2026_10054,Pune,Installation of Solar Streetlights,VEND_1026,BANK_ACC_38893,192.168.1.51,1833584,1833584,18.516816,73.839105,2025-10-23,0,None
MPLAD_2026_10055,Sangli,Drinking Water Pipeline Installation,VEND_1000,BANK_ACC_93810,192.168.1.99,1675383,1675383,18.477997,73.878328,2025-10-04,0,None
MPLAD_2026_10056,Nagpur,Supply of Benches to Public Park,VEND_1034,BANK_ACC_46421,192.168.1.254,1125006,1125006,18.454587,73.797128,2025-12-10,0,None
MPLAD_2026_10057,Nagpur,Drinking Water Pipeline Installation,VEND_1010,BANK_ACC_21395,192.168.1.119,2160376,2160376,18.596144,73.806825,2025-11-01,0,None
MPLAD_2026_10058,Nashik,Supply of Benches to Public Park,VEND_1001,BANK_ACC_24592,192.168.1.26,552101,552101,28.575821,77.142332,2025-06-18,1,GPS Geofence Violation
MPLAD_2026_10059,Kolhapur,Drinking Water Pipeline Installation,VEND_1017,BANK_ACC_40495,192.168.1.143,1968171,1968171,18.416381,73.703877,2025-06-30,0,None
MPLAD_2026_10060,Satara,Supply of Benches to Public Park,VEND_1004,BANK_ACC_42098,192.168.1.90,368854,368854,28.530476,77.125244,2025-12-10,1,GPS Geofence Violation
MPLAD_2026_10061,Pune,Public Library Building,VEND_1013,BANK_ACC_14165,192.168.1.251,2150493,2150493,18.55338,73.733558,2025-03-01,0,None
MPLAD_2026_10062,Thane,Installation of Solar Streetlights,VEND_1019,BANK_ACC_88907,192.168.1.214,653399,653399,18.585777,73.815159,2025-07-13,0,None
MPLAD_2026_10063,Sangli,Supply of Benches to Public Park,VEND_1012,BANK_ACC_65302,192.168.1.33,518752,518752,18.566114,73.74857,2025-06-05,0,None
MPLAD_2026_10064,Thane,Supply of Benches to Public Park,VEND_1038,BANK_ACC_23396,192.168.1.223,707741,707741,18.513187,73.708214,2025-12-06,0,None
MPLAD_2026_10065,Kolhapur,Construction of Community Hall,VEND_1032,BANK_ACC_65392,192.168.1.199,1631227,5105884,18.49804,73.786705,2025-08-25,1,Price Inflation Outlier
MPLAD_2026_10066,Nagpur,Installation of Solar Streetlights,VEND_1027,BANK_ACC_68878,192.168.1.182,938771,938771,18.593095,73.754016,2025-10-04,0,None
MPLAD_2026_10067,Thane,Drinking Water Pipeline Installation,VEND_1029,BANK_ACC_46463,192.168.1.13,2026931,2026931,18.518495,73.764461,2025-02-15,0,None
MPLAD_2026_10068,Kolhapur,Drinking Water Pipeline Installation,VEND_1015,BANK_ACC_22280,192.168.1.98,2149128,2149128,18.533638,73.767279,2025-06-17,0,None
MPLAD_2026_10069,Satara,Drinking Water Pipeline Installation,VEND_1013,BANK_ACC_14165,192.168.1.251,1688243,1688243,18.468068,73.876064,2025-05-23,0,None
MPLAD_2026_10070,Nashik,Construction of Community Hall,VEND_1033,BANK_ACC_54597,192.168.1.76,1001348,3584937,18.497716,73.851633,2025-11-28,1,Price Inflation Outlier
MPLAD_2026_10071,Nagpur,Drinking Water Pipeline Installation,VEND_1028,BANK_ACC_87236,192.168.1.19,272323,771326,18.538357,73.761241,2025-09-01,1,Price Inflation Outlier
MPLAD_2026_10072,Nashik,Public Library Building,VEND_1022,BANK_ACC_36062,192.168.1.228,1984692,1984692,18.510078,73.770362,2025-06-07,0,None
MPLAD_2026_10073,Kolhapur,Installation of Solar Streetlights,VEND_1007,BANK_ACC_77777,192.168.1.99,1007757,1007757,18.548576,73.890176,2025-04-10,1,Vendor Cartel Cluster
MPLAD_2026_10074,Satara,Supply of Benches to Public Park,VEND_1030,BANK_ACC_10851,192.168.1.171,1359723,1359723,18.595321,73.804927,2025-02-22,0,None
MPLAD_2026_10075,Thane,Installation of Solar Streetlights,VEND_1018,BANK_ACC_76237,192.168.1.77,1154133,1154133,18.460454,73.841604,2025-01-25,0,None
MPLAD_2026_10076,Pune,Public Library Building,VEND_1018,BANK_ACC_76237,192.168.1.77,729654,729654,28.556868,77.195743,2025-06-25,1,GPS Geofence Violation
MPLAD_2026_10077,Satara,Construction of Community Hall,VEND_1016,BANK_ACC_38657,192.168.1.22,2203741,2203741,18.413069,73.798349,2025-12-19,0,None
MPLAD_2026_10078,Pune,Installation of Solar Streetlights,VEND_1009,BANK_ACC_81482,192.168.1.188,1474378,4234835,18.511615,73.783235,2025-11-14,1,Price Inflation Outlier
MPLAD_2026_10079,Satara,Public Library Building,VEND_1024,BANK_ACC_81426,192.168.1.94,2089594,2089594,18.459471,73.817705,2025-10-20,0,None
MPLAD_2026_10080,Nashik,Construction of Community Hall,VEND_1039,BANK_ACC_22156,192.168.1.27,616215,616215,18.441558,73.742205,2025-03-23,0,None
MPLAD_2026_10081,Satara,Installation of Solar Streetlights,VEND_1035,BANK_ACC_30379,192.168.1.22,514844,514844,18.481704,73.837874,2025-01-18,0,None
MPLAD_2026_10082,Satara,Concrete Road Construction,VEND_1018,BANK_ACC_76237,192.168.1.77,2104345,5997668,18.452911,73.85825,2025-04-13,1,Price Inflation Outlier
MPLAD_2026_10083,Sangli,Construction of Community Hall,VEND_1034,BANK_ACC_46421,192.168.1.254,1142919,1142919,28.533185,77.161522,2025-10-20,1,GPS Geofence Violation
MPLAD_2026_10084,Kolhapur,Drinking Water Pipeline Installation,VEND_1007,BANK_ACC_77777,192.168.1.99,2165861,2165861,18.539947,73.888535,2025-09-11,1,Vendor Cartel Cluster
MPLAD_2026_10085,Sangli,Construction of Community Hall,VEND_1038,BANK_ACC_23396,192.168.1.223,367188,367188,28.545785,77.23486,2025-10-23,1,GPS Geofence Violation
MPLAD_2026_10086,Nashik,Construction of Community Hall,VEND_1017,BANK_ACC_40495,192.168.1.143,368743,368743,18.435038,73.803793,2025-05-24,0,None
MPLAD_2026_10087,Satara,Public Library Building,VEND_1027,BANK_ACC_68878,192.168.1.182,2262447,2262447,18.494002,73.78167,2025-02-24,0,None
MPLAD_2026_10088,Thane,Installation of Solar Streetlights,VEND_1021,BANK_ACC_83563,192.168.1.160,1926564,1926564,18.457644,73.889039,2025-10-10,0,None
MPLAD_2026_10089,Pune,Drinking Water Pipeline Installation,VEND_1005,BANK_ACC_77777,192.168.1.99,1519180,1519180,18.423184,73.85451,2025-01-02,1,Vendor Cartel Cluster
MPLAD_2026_10090,Nagpur,Public Library Building,VEND_1029,BANK_ACC_46463,192.168.1.13,1933285,6336649,18.524527,73.799699,2025-01-28,1,Price Inflation Outlier
MPLAD_2026_10091,Satara,Concrete Road Construction,VEND_1035,BANK_ACC_30379,192.168.1.22,749509,749509,18.487623,73.83965,2025-11-20,0,None
MPLAD_2026_10092,Nashik,Installation of Solar Streetlights,VEND_1010,BANK_ACC_21395,192.168.1.119,1503380,1503380,18.51045,73.718642,2025-03-01,0,None
MPLAD_2026_10093,Sangli,Construction of Community Hall,VEND_1009,BANK_ACC_81482,192.168.1.188,2290338,2290338,18.458372,73.841082,2025-09-06,0,None
MPLAD_2026_10094,Sangli,Installation of Solar Streetlights,VEND_1029,BANK_ACC_46463,192.168.1.13,806672,806672,18.584374,73.801648,2025-02-06,0,None
MPLAD_2026_10095,Kolhapur,Drinking Water Pipeline Installation,VEND_1021,BANK_ACC_83563,192.168.1.160,2329606,2329606,18.400513,73.84521,2025-10-25,0,None
MPLAD_2026_10096,Nagpur,Drinking Water Pipeline Installation,VEND_1009,BANK_ACC_81482,192.168.1.188,2072955,2072955,18.469025,73.810383,2025-08-23,0,None
MPLAD_2026_10097,Kolhapur,Installation of Solar Streetlights,VEND_1015,BANK_ACC_22280,192.168.1.98,1806296,1806296,18.555109,73.708729,2025-12-29,0,None
MPLAD_2026_10098,Thane,Drinking Water Pipeline Installation,VEND_1024,BANK_ACC_81426,192.168.1.94,837975,837975,18.407404,73.800458,2025-02-22,0,None
MPLAD_2026_10099,Thane,Drinking Water Pipeline Installation,VEND_1006,BANK_ACC_77777,192.168.1.99,2405998,2405998,18.40307,73.728831,2025-03-22,1,Vendor Cartel Cluster
MPLAD_2026_10100,Pune,Drinking Water Pipeline Installation,VEND_1016,BANK_ACC_38657,192.168.1.22,1620028,1620028,18.479497,73.716063,2025-12-13,0,None
MPLAD_2026_10101,Thane,Public Library Building,VEND_1024,BANK_ACC_81426,192.168.1.94,1528173,1528173,18.577488,73.797589,2025-11-14,0,None
MPLAD_2026_10102,Pune,Installation of Solar Streetlights,VEND_1018,BANK_ACC_76237,192.168.1.77,1154146,1154146,18.486794,73.719689,2025-02-22,0,None
MPLAD_2026_10103,Sangli,Installation of Solar Streetlights,VEND_1019,BANK_ACC_88907,192.168.1.214,321413,1187368,18.458674,73.774968,2025-09-30,1,Price Inflation Outlier
MPLAD_2026_10104,Sangli,Public Library Building,VEND_1011,BANK_ACC_87397,192.168.1.139,912963,912963,18.521898,73.776509,2025-09-13,0,None
MPLAD_2026_10105,Nashik,Installation of Solar Streetlights,VEND_1014,BANK_ACC_13905,192.168.1.238,2134202,2134202,18.491914,73.833368,2025-08-28,0,None
MPLAD_2026_10106,Kolhapur,Supply of Benches to Public Park,VEND_1034,BANK_ACC_46421,192.168.1.254,862597,3379528,18.59753,73.759831,2025-12-21,1,Price Inflation Outlier
MPLAD_2026_10107,Kolhapur,Drinking Water Pipeline Installation,VEND_1019,BANK_ACC_88907,192.168.1.214,1035576,1035576,18.570667,73.721331,2025-07-04,0,None
MPLAD_2026_10108,Nashik,Concrete Road Construction,VEND_1018,BANK_ACC_76237,192.168.1.77,292021,292021,18.531646,73.754896,2025-12-19,0,None
MPLAD_2026_10109,Thane,Supply of Benches to Public Park,VEND_1003,BANK_ACC_46048,192.168.1.218,2283425,2283425,18.580587,73.855148,2025-07-01,0,None
MPLAD_2026_10110,Satara,Supply of Benches to Public Park,VEND_1012,BANK_ACC_65302,192.168.1.33,1251204,1251204,18.544186,73.831836,2025-11-19,0,None
MPLAD_2026_10111,Pune,Supply of Benches to Public Park,VEND_1002,BANK_ACC_13278,192.168.1.93,1495758,1495758,18.406673,73.772972,2025-06-02,0,None
MPLAD_2026_10112,Kolhapur,Supply of Benches to Public Park,VEND_1026,BANK_ACC_38893,192.168.1.51,936687,936687,18.557303,73.875292,2025-09-15,0,None
MPLAD_2026_10113,Kolhapur,Installation of Solar Streetlights,VEND_1016,BANK_ACC_38657,192.168.1.22,2221016,2221016,18.459028,73.874079,2025-08-29,0,None
MPLAD_2026_10114,Pune,Installation of Solar Streetlights,VEND_1014,BANK_ACC_13905,192.168.1.238,1866864,1866864,18.560918,73.773155,2025-01-09,0,None
MPLAD_2026_10115,Kolhapur,Public Library Building,VEND_1007,BANK_ACC_77777,192.168.1.99,2107510,2107510,18.549802,73.752432,2025-11-24,1,Vendor Cartel Cluster
MPLAD_2026_10116,Kolhapur,Construction of Community Hall,VEND_1014,BANK_ACC_13905,192.168.1.238,2177517,8331947,18.512281,73.883051,2025-02-03,1,Price Inflation Outlier
MPLAD_2026_10117,Nagpur,Drinking Water Pipeline Installation,VEND_1019,BANK_ACC_88907,192.168.1.214,1912516,1912516,18.409069,73.707442,2025-03-02,0,None
MPLAD_2026_10118,Pune,Installation of Solar Streetlights,VEND_1034,BANK_ACC_46421,192.168.1.254,769016,769016,18.474202,73.889876,2025-10-05,0,None
MPLAD_2026_10119,Sangli,Public Library Building,VEND_1009,BANK_ACC_81482,192.168.1.188,1940151,1940151,18.566739,73.82313,2025-05-25,0,None
MPLAD_2026_10120,Pune,Supply of Benches to Public Park,VEND_1023,BANK_ACC_95181,192.168.1.222,1111295,1111295,18.590111,73.87109,2025-12-19,0,None
MPLAD_2026_10121,Kolhapur,Public Library Building,VEND_1022,BANK_ACC_36062,192.168.1.228,453965,453965,18.437962,73.724432,2025-08-22,0,None
MPLAD_2026_10122,Pune,Supply of Benches to Public Park,VEND_1013,BANK_ACC_14165,192.168.1.251,289579,868813,18.597764,73.857396,2025-10-12,1,Price Inflation Outlier
MPLAD_2026_10123,Satara,Public Library Building,VEND_1013,BANK_ACC_14165,192.168.1.251,1177267,1177267,28.671681,77.128938,2025-03-09,1,GPS Geofence Violation
MPLAD_2026_10124,Nashik,Concrete Road Construction,VEND_1011,BANK_ACC_87397,192.168.1.139,661064,661064,18.405156,73.702972,2025-05-03,0,None
MPLAD_2026_10125,Nashik,Concrete Road Construction,VEND_1001,BANK_ACC_24592,192.168.1.26,930841,930841,18.425352,73.784192,2025-02-03,0,None
MPLAD_2026_10126,Sangli,Drinking Water Pipeline Installation,VEND_1023,BANK_ACC_95181,192.168.1.222,2352676,2352676,18.490401,73.74431,2025-12-05,0,None
MPLAD_2026_10127,Nashik,Concrete Road Construction,VEND_1029,BANK_ACC_46463,192.168.1.13,330655,1064204,18.480323,73.837219,2025-08-17,1,Price Inflation Outlier
MPLAD_2026_10128,Pune,Construction of Community Hall,VEND_1020,BANK_ACC_13478,192.168.1.162,822157,2394551,18.526615,73.809671,2025-11-03,1,Price Inflation Outlier
MPLAD_2026_10129,Nashik,Concrete Road Construction,VEND_1029,BANK_ACC_46463,192.168.1.13,2320434,2320434,18.419836,73.840356,2025-12-01,0,None
MPLAD_2026_10130,Thane,Public Library Building,VEND_1013,BANK_ACC_14165,192.168.1.251,2003844,2003844,18.445699,73.767786,2025-08-02,0,None
MPLAD_2026_10131,Nagpur,Construction of Community Hall,VEND_1020,BANK_ACC_13478,192.168.1.162,1989977,1989977,18.450978,73.890719,2025-09-01,0,None
MPLAD_2026_10132,Pune,Construction of Community Hall,VEND_1005,BANK_ACC_77777,192.168.1.99,591035,591035,18.548918,73.774529,2025-02-01,1,Vendor Cartel Cluster
MPLAD_2026_10133,Nashik,Public Library Building,VEND_1035,BANK_ACC_30379,192.168.1.22,1582635,1582635,18.482162,73.874721,2025-08-06,0,None
MPLAD_2026_10134,Thane,Supply of Benches to Public Park,VEND_1003,BANK_ACC_46048,192.168.1.218,1406405,1406405,18.470329,73.815584,2025-12-04,0,None
MPLAD_2026_10135,Sangli,Installation of Solar Streetlights,VEND_1006,BANK_ACC_77777,192.168.1.99,1668484,1668484,18.473512,73.852521,2025-08-09,1,Vendor Cartel Cluster
MPLAD_2026_10136,Thane,Public Library Building,VEND_1039,BANK_ACC_22156,192.168.1.27,310116,310116,28.554654,77.252482,2025-06-24,1,GPS Geofence Violation
MPLAD_2026_10137,Kolhapur,Construction of Community Hall,VEND_1011,BANK_ACC_87397,192.168.1.139,800840,800840,18.480157,73.728375,2025-01-17,0,None
MPLAD_2026_10138,Pune,Supply of Benches to Public Park,VEND_1033,BANK_ACC_54597,192.168.1.76,1102332,1102332,18.490729,73.731482,2025-06-17,0,None
MPLAD_2026_10139,Thane,Public Library Building,VEND_1038,BANK_ACC_23396,192.168.1.223,556335,556335,28.516316,77.188623,2025-08-07,1,GPS Geofence Violation
MPLAD_2026_10140,Sangli,Public Library Building,VEND_1028,BANK_ACC_87236,192.168.1.19,1937212,1937212,18.550989,73.722764,2025-05-27,0,None
MPLAD_2026_10141,Nagpur,Supply of Benches to Public Park,VEND_1037,BANK_ACC_54118,192.168.1.61,2241085,2241085,18.461684,73.744104,2025-01-30,0,None
MPLAD_2026_10142,Pune,Installation of Solar Streetlights,VEND_1019,BANK_ACC_88907,192.168.1.214,1085979,1085979,18.552832,73.757889,2025-09-13,0,None
MPLAD_2026_10143,Nagpur,Drinking Water Pipeline Installation,VEND_1011,BANK_ACC_87397,192.168.1.139,741844,741844,18.540734,73.800052,2025-07-02,0,None
MPLAD_2026_10144,Pune,Drinking Water Pipeline Installation,VEND_1002,BANK_ACC_13278,192.168.1.93,2029637,7878530,18.572422,73.815152,2025-12-31,1,Price Inflation Outlier
MPLAD_2026_10145,Nagpur,Drinking Water Pipeline Installation,VEND_1018,BANK_ACC_76237,192.168.1.77,683072,683072,18.59324,73.734375,2025-08-25,0,None
MPLAD_2026_10146,Thane,Supply of Benches to Public Park,VEND_1023,BANK_ACC_95181,192.168.1.222,569643,569643,18.421173,73.787135,2025-02-11,0,None
MPLAD_2026_10147,Sangli,Concrete Road Construction,VEND_1021,BANK_ACC_83563,192.168.1.160,1129340,1129340,18.433627,73.802097,2025-09-20,0,None
MPLAD_2026_10148,Satara,Concrete Road Construction,VEND_1022,BANK_ACC_36062,192.168.1.228,819456,819456,18.429289,73.739454,2025-12-03,0,None
MPLAD_2026_10149,Pune,Installation of Solar Streetlights,VEND_1031,BANK_ACC_30926,192.168.1.60,2145960,2145960,18.551975,73.789781,2025-10-18,0,None
MPLAD_2026_10150,Nagpur,Supply of Benches to Public Park,VEND_1039,BANK_ACC_22156,192.168.1.27,1555633,1555633,28.588442,77.160564,2025-05-22,1,GPS Geofence Violation
MPLAD_2026_10151,Nashik,Construction of Community Hall,VEND_1022,BANK_ACC_36062,192.168.1.228,2327925,7432165,18.407521,73.773748,2025-11-28,1,Price Inflation Outlier
MPLAD_2026_10152,Thane,Construction of Community Hall,VEND_1039,BANK_ACC_22156,192.168.1.27,2326796,2326796,18.516066,73.890846,2025-01-23,0,None
MPLAD_2026_10153,Sangli,Public Library Building,VEND_1012,BANK_ACC_65302,192.168.1.33,1548580,1548580,18.500273,73.891544,2025-06-26,0,None
MPLAD_2026_10154,Nagpur,Construction of Community Hall,VEND_1032,BANK_ACC_65392,192.168.1.199,923764,3289923,18.598197,73.804814,2025-07-07,1,Price Inflation Outlier
MPLAD_2026_10155,Kolhapur,Concrete Road Construction,VEND_1024,BANK_ACC_81426,192.168.1.94,1914503,1914503,18.53578,73.710473,2025-06-22,0,None
MPLAD_2026_10156,Pune,Concrete Road Construction,VEND_1006,BANK_ACC_77777,192.168.1.99,1821367,1821367,18.544747,73.831313,2025-03-19,1,Vendor Cartel Cluster
MPLAD_2026_10157,Kolhapur,Construction of Community Hall,VEND_1037,BANK_ACC_54118,192.168.1.61,793193,793193,18.462046,73.831211,2025-03-09,0,None
MPLAD_2026_10158,Nashik,Supply of Benches to Public Park,VEND_1005,BANK_ACC_77777,192.168.1.99,1498480,1498480,18.528699,73.765695,2025-12-27,1,Vendor Cartel Cluster
MPLAD_2026_10159,Thane,Supply of Benches to Public Park,VEND_1033,BANK_ACC_54597,192.168.1.76,591970,591970,18.484681,73.772366,2025-04-04,0,None
MPLAD_2026_10160,Satara,Concrete Road Construction,VEND_1031,BANK_ACC_30926,192.168.1.60,1005328,1005328,18.427513,73.715433,2025-02-22,0,None
MPLAD_2026_10161,Nashik,Public Library Building,VEND_1033,BANK_ACC_54597,192.168.1.76,358324,358324,18.575279,73.823606,2025-03-21,0,None
