project_id,state,district,parliamentary_constituency,implementing_agency,road_type,road_length_km,estimated_cost_lakh,actual_expenditure_lakh,planned_duration_days,actual_duration_days,project_start_date,project_completion_date,latitude,longitude,project_status,ground_truth_anomaly
MPLADS-RD-00056,Punjab,Ludhiana,Ludhiana,Municipal Corporation,Urban Internal Road,0.59,15.81,16.19,45,30,2019-10-26,,30.898063,75.938029,Ongoing,1
MPLADS-RD-00057,Haryana,Hisar,Hisar,CPWD Division,Village Road,3.46,21.04,21.4,111,112,2019-09-01,2019-12-22,29.262013,75.746453,Delayed,0
MPLADS-RD-00058,Gujarat,Rajkot,Rajkot,Panchayati Raj Engineering Department,State Highway Link,8.46,168.13,182.29,159,223,2023-09-01,2024-04-11,22.389045,70.723925,Delayed,0
MPLADS-RD-00059,Odisha,Ganjam,Berhampur,Zilla Parishad,State Highway Link,4.88,66.53,57.24,113,98,2021-05-13,2021-08-19,19.242817,84.920154,Completed,0
MPLADS-RD-00060,Tamil Nadu,Salem,Salem,Panchayati Raj Engineering Department,Rural Link Road,2.51,15.14,15.05,67,83,2025-06-10,2025-09-01,11.6686,77.973519,Delayed,0
MPLADS-RD-00061,Assam,Jorhat,Jorhat,Block Development Office,Village Road,2.02,22.54,24.06,67,58,2020-02-19,,26.828799,94.158961,Ongoing,1
MPLADS-RD-00062,Odisha,Cuttack,Cuttack,District Rural Development Agency (DRDA),District Road,3.39,38.46,42.9,60,77,2020-02-29,2020-05-16,20.52273,85.950454,Delayed,0
MPLADS-RD-00063,Kerala,Ernakulam,Ernakulam,Municipal Corporation,State Highway Link,13.68,277.76,315.7,163,201,2024-12-27,2025-07-16,10.050449,76.306129,Delayed,0
MPLADS-RD-00064,Odisha,Khordha,Bhubaneswar,Block Development Office,Urban Internal Road,2.41,151.26,160.95,62,62,2020-04-24,2020-06-25,20.164175,85.801502,Completed,1
MPLADS-RD-00065,Assam,Silchar,Silchar,CPWD Division,Village Road,3.06,13.6,13.33,84,137,2023-08-14,2023-12-29,24.835773,92.769491,Delayed,0
MPLADS-RD-00066,Assam,Kamrup Metropolitan,Guwahati,State PWD Division,Urban Internal Road,0.6,6.89,6.92,48,61,2021-12-31,2022-03-02,26.0909,91.827022,Delayed,0
MPLADS-RD-00067,Karnataka,Mysuru,Mysore,CPWD Division,Village Road,3.63,14.27,13.19,122,125,2019-08-27,2019-12-30,12.321423,76.624342,Completed,0
MPLADS-RD-00068,Uttar Pradesh,Varanasi,Varanasi,Municipal Corporation,Urban Internal Road,0.79,7.44,5.0,48,43,2023-04-09,,25.291981,83.114664,Ongoing,0
MPLADS-RD-00069,Odisha,Sambalpur,Sambalpur,CPWD Division,Rural Link Road,3.95,20.9,24.33,83,107,2020-09-22,2021-01-07,21.432331,83.983407,Delayed,0
MPLADS-RD-00070,Kerala,Ernakulam,Ernakulam,Municipal Corporation,District Road,2.46,33.67,65.73,80,75,2024-12-02,2025-02-15,10.004804,76.30626,Completed,1
MPLADS-RD-00071,Bihar,Patna,Patna Sahib,Municipal Corporation,State Highway Link,2.03,45.42,30.83,59,55,2022-07-08,,25.74009,85.040347,Ongoing,0
MPLADS-RD-00072,Gujarat,Vadodara,Vadodara,CPWD Division,Village Road,1.49,6.23,5.97,50,52,2024-11-07,2024-12-29,22.122392,73.185548,Completed,0
MPLADS-RD-00073,Maharashtra,Aurangabad,Aurangabad,Block Development Office,State Highway Link,3.75,64.34,33.84,93,53,2021-08-27,,19.880397,75.319926,Ongoing,0
MPLADS-RD-00074,Uttar Pradesh,Gorakhpur,Gorakhpur,District Rural Development Agency (DRDA),District Road,7.17,88.18,82.74,157,161,2021-03-19,2021-08-27,26.90009,83.434688,Completed,0
MPLADS-RD-00075,Jharkhand,Jamshedpur (East Singhbhum),Jamshedpur,CPWD Division,Rural Link Road,0.99,5.37,5.15,48,77,2025-04-07,2025-06-23,22.870242,86.171401,Delayed,0
MPLADS-RD-00076,Uttar Pradesh,Gorakhpur,Gorakhpur,Zilla Parishad,District Road,9.76,67.32,62.47,192,198,2025-04-28,2025-11-12,26.863574,83.330398,Completed,0
MPLADS-RD-00077,Rajasthan,Udaipur,Udaipur,District Rural Development Agency (DRDA),District Road,3.5,25.24,9.96,82,42,2022-12-09,,24.558013,73.705973,Ongoing,0
MPLADS-RD-00078,Odisha,Khordha,Bhubaneswar,State PWD Division,Rural Link Road,5.2,35.78,38.55,103,390,2022-07-27,2023-08-21,20.163231,85.796144,Delayed,1
MPLADS-RD-00079,Kerala,Thiruvananthapuram,Thiruvananthapuram,State PWD Division,Urban Internal Road,1.67,22.31,24.47,45,51,2019-08-10,2019-09-30,8.608312,76.930943,Completed,0
MPLADS-RD-00080,Chhattisgarh,Bilaspur,Bilaspur,Block Development Office,State Highway Link,11.77,194.9,182.66,151,167,2025-04-16,2025-09-30,22.073822,82.17319,Completed,0
MPLADS-RD-00081,Haryana,Karnal,Karnal,CPWD Division,Rural Link Road,4.7,37.88,38.96,63,64,2023-12-11,2024-02-13,29.688678,76.983396,Completed,0
MPLADS-RD-00082,Karnataka,Bengaluru Urban,Bangalore North,Panchayati Raj Engineering Department,Village Road,2.21,5.33,4.6,78,70,2022-07-23,2022-10-01,12.888794,77.593633,Completed,0
MPLADS-RD-00083,Odisha,Sambalpur,Sambalpur,Rural Engineering Services,District Road,2.8,31.18,16.55,76,57,2023-03-27,,21.453386,83.991312,Ongoing,0
MPLADS-RD-00084,Rajasthan,Udaipur,Udaipur,CPWD Division,State Highway Link,11.68,188.23,178.74,143,138,2024-03-21,2024-08-06,24.614636,73.745519,Completed,0
MPLADS-RD-00085,Chhattisgarh,Raipur,Raipur,Panchayati Raj Engineering Department,State Highway Link,5.14,115.53,82.45,53,50,2020-12-31,,21.315961,81.50001,Ongoing,0
MPLADS-RD-00086,Chhattisgarh,Bilaspur,Bilaspur,Panchayati Raj Engineering Department,Urban Internal Road,2.97,49.08,56.32,58,81,2023-06-30,2023-09-19,21.978546,82.045531,Delayed,0
MPLADS-RD-00087,Gujarat,Vadodara,Vadodara,Panchayati Raj Engineering Department,District Road,7.22,81.53,36.98,173,77,2024-09-24,,22.223579,73.135782,Ongoing,0
MPLADS-RD-00088,Punjab,Amritsar,Amritsar,District Rural Development Agency (DRDA),Village Road,2.17,10.57,11.12,76,66,2020-07-11,2020-09-15,31.485321,74.90848,Completed,0
MPLADS-RD-00089,Chhattisgarh,Durg,Durg,District Rural Development Agency (DRDA),Rural Link Road,5.65,26.65,27.67,129,154,2019-08-15,2020-01-16,21.194085,81.391153,Completed,0
MPLADS-RD-00090,Chhattisgarh,Durg,Durg,Block Development Office,District Road,9.9,110.7,105.97,111,132,2024-12-31,2025-05-12,21.161944,81.311767,Completed,0
MPLADS-RD-00091,Uttarakhand,Haridwar,Haridwar,Panchayati Raj Engineering Department,Urban Internal Road,2.56,33.61,32.9,72,81,2023-06-14,2023-09-03,29.989856,78.023031,Completed,0
MPLADS-RD-00092,Madhya Pradesh,Jabalpur,Jabalpur,Zilla Parishad,Village Road,1.58,6.69,6.14,57,52,2019-09-11,2019-11-02,23.102536,79.866557,Completed,0
MPLADS-RD-00093,Maharashtra,Aurangabad,Aurangabad,CPWD Division,State Highway Link,4.81,106.46,107.99,79,87,2025-03-16,2025-06-11,19.806126,75.335535,Completed,0
MPLADS-RD-00094,Madhya Pradesh,Jabalpur,Jabalpur,State PWD Division,District Road,3.41,41.39,41.98,80,83,2024-10-22,2025-01-13,23.088314,80.1471,Completed,0
MPLADS-RD-00095,Bihar,Gaya,Gaya,Zilla Parishad,State Highway Link,9.05,103.1,110.45,76,81,2023-02-26,2023-05-18,24.820784,85.032186,Completed,0
MPLADS-RD-00096,Tamil Nadu,Chennai,Chennai Central,Block Development Office,Urban Internal Road,1.15,12.08,10.6,58,70,2021-09-08,2021-11-17,13.054441,80.237008,Delayed,0
MPLADS-RD-00097,Odisha,Ganjam,Berhampur,Panchayati Raj Engineering Department,Village Road,2.13,9.56,9.9,74,78,2020-09-20,2020-12-07,19.262715,84.886525,Delayed,0
MPLADS-RD-00098,Odisha,Cuttack,Cuttack,CPWD Division,Urban Internal Road,1.17,12.08,12.5,45,69,2019-11-24,2020-02-01,20.480444,85.931077,Delayed,0
MPLADS-RD-00099,Madhya Pradesh,Gwalior,Gwalior,State PWD Division,Urban Internal Road,0.42,19.93,21.04,45,37,2020-12-01,,26.308429,78.185052,Ongoing,1
MPLADS-RD-00100,Chhattisgarh,Raipur,Raipur,District Rural Development Agency (DRDA),Village Road,1.18,3.44,3.3,63,87,2020-01-10,2020-04-06,21.322519,81.743485,Delayed,0
MPLADS-RD-00101,Telangana,Karimnagar,Karimnagar,District Rural Development Agency (DRDA),District Road,2.41,24.41,24.51,58,77,2024-08-06,2024-10-22,18.48748,78.99848,Delayed,0
MPLADS-RD-00102,Tamil Nadu,Tiruchirappalli,Tiruchirappalli,District Rural Development Agency (DRDA),Village Road,1.71,8.12,7.6,62,73,2020-05-30,2020-08-11,10.761727,78.731125,Completed,0
MPLADS-RD-00103,Telangana,Warangal,Warangal,State PWD Division,Village Road,1.05,2.41,2.58,54,66,2023-05-26,2023-07-31,17.915147,79.712291,Delayed,0
MPLADS-RD-00104,Jharkhand,Jamshedpur (East Singhbhum),Jamshedpur,State PWD Division,Village Road,3.33,19.5,18.01,79,87,2022-11-03,2023-01-29,22.846561,86.083348,Delayed,0
MPLADS-RD-00105,Assam,Silchar,Silchar,Rural Engineering Services,Village Road,1.42,14.76,14.56,73,74,2021-06-01,2021-08-14,24.803121,92.701975,Completed,1
MPLADS-RD-00106,Uttarakhand,Dehradun,Tehri Garhwal,CPWD Division,Rural Link Road,1.6,11.11,11.16,63,61,2021-11-04,2022-01-04,30.358289,78.01363,Completed,0
MPLADS-RD-00107,Gujarat,Surat,Surat,Zilla Parishad,Rural Link Road,5.67,22.49,13.88,154,74,2023-11-30,,21.204501,72.95396,Ongoing,0
MPLADS-RD-00108,Assam,Kamrup Metropolitan,Guwahati,Zilla Parishad,Rural Link Road,3.63,20.4,19.38,92,96,2022-05-20,2022-08-24,25.893007,91.652687,Completed,0
MPLADS-RD-00109,Maharashtra,Nashik,Nashik,Panchayati Raj Engineering Department,State Highway Link,6.52,128.97,129.28,93,111,2021-11-26,2022-03-17,20.181467,73.797059,Delayed,0
MPLADS-RD-00110,Gujarat,Bhavnagar,Bhavnagar,Rural Engineering Services,State Highway Link,5.89,97.6,82.96,127,122,2019-09-16,2020-01-16,21.719628,72.240654,Completed,0
MPLADS-RD-00111,West Bengal,Darjeeling,Darjeeling,CPWD Division,State Highway Link,12.82,236.84,237.8,199,215,2020-02-14,2020-09-16,27.10046,88.309752,Completed,0
MPLADS-RD-00112,Madhya Pradesh,Gwalior,Gwalior,Panchayati Raj Engineering Department,District Road,5.51,48.43,46.83,106,110,2024-07-31,2024-11-18,26.163982,78.182195,Completed,0
MPLADS-RD-00113,Karnataka,Mysuru,Mysore,Panchayati Raj Engineering Department,Urban Internal Road,2.96,46.13,47.89,77,87,2019-12-14,2020-03-10,12.271859,76.558195,Completed,0
MPLADS-RD-00114,Uttar Pradesh,Agra,Agra,Panchayati Raj Engineering Department,District Road,5.87,72.1,75.88,98,158,2021-01-29,2021-07-06,27.071972,78.056959,Delayed,0
MPLADS-RD-00115,Gujarat,Vadodara,Vadodara,State PWD Division,State Highway Link,6.54,160.72,161.71,93,87,2022-10-27,2023-01-22,22.330767,73.255011,Completed,0
MPLADS-RD-00116,Gujarat,Surat,Surat,CPWD Division,State Highway Link,12.78,247.56,261.31,165,141,2023-09-04,2024-01-23,21.20058,72.890318,Completed,0
MPLADS-RD-00117,Gujarat,Surat,Surat,Panchayati Raj Engineering Department,District Road,7.1,58.96,62.5,145,154,2019-11-03,2020-04-05,21.291543,72.767347,Completed,0
MPLADS-RD-00118,Rajasthan,Udaipur,Udaipur,CPWD Division,Urban Internal Road,2.26,21.85,19.72,45,51,2025-01-01,2025-02-21,24.604246,73.782255,Completed,0
MPLADS-RD-00119,Kerala,Thiruvananthapuram,Thiruvananthapuram,District Rural Development Agency (DRDA),State Highway Link,12.87,307.77,299.6,165,197,2023-04-26,2023-11-09,8.551672,76.990066,Completed,0
MPLADS-RD-00120,Jharkhand,Dhanbad,Dhanbad,Rural Engineering Services,Urban Internal Road,1.45,19.42,21.99,45,45,2021-08-02,2021-09-16,23.800716,86.439003,Completed,0
MPLADS-RD-00121,Bihar,Darbhanga,Darbhanga,District Rural Development Agency (DRDA),State Highway Link,3.96,62.03,66.3,79,64,2021-01-26,2021-03-31,26.174858,86.016977,Completed,0
MPLADS-RD-00122,Gujarat,Bhavnagar,Bhavnagar,State PWD Division,Village Road,3.97,21.01,20.27,105,98,2019-07-02,2019-10-08,21.734924,72.10419,Completed,0
MPLADS-RD-00123,Odisha,Cuttack,Cuttack,Rural Engineering Services,District Road,7.09,86.72,54.64,120,83,2022-08-10,,20.410963,85.930096,Ongoing,0
MPLADS-RD-00124,Gujarat,Bhavnagar,Bhavnagar,Rural Engineering Services,Rural Link Road,5.46,37.93,39.24,116,110,2023-01-10,2023-04-30,21.952966,72.149585,Completed,0
MPLADS-RD-00125,Maharashtra,Pune,Pune,CPWD Division,District Road,3.16,26.94,22.9,70,79,2021-02-12,2021-05-02,18.433783,73.888268,Completed,0
MPLADS-RD-00126,Karnataka,Mysuru,Mysore,Panchayati Raj Engineering Department,District Road,6.13,63.42,60.47,107,168,2020-05-04,2020-10-19,12.278942,76.613076,Delayed,0
MPLADS-RD-00127,Gujarat,Surat,Surat,Block Development Office,State Highway Link,2.26,29.42,13.68,65,52,2020-10-15,,21.140213,72.8916,Ongoing,0
MPLADS-RD-00128,Maharashtra,Pune,Pune,Block Development Office,Village Road,2.61,7.21,7.3,80,88,2019-07-06,2019-10-02,18.498026,73.815735,Completed,0
MPLADS-RD-00129,Maharashtra,Thane,Thane,CPWD Division,Village Road,2.44,8.1,5.87,82,70,2023-04-28,,19.133617,72.968099,Ongoing,0
MPLADS-RD-00130,Uttar Pradesh,Agra,Agra,CPWD Division,Village Road,2.62,12.09,11.94,102,114,2024-10-29,2025-02-20,27.260199,78.03957,Completed,0
MPLADS-RD-00131,Madhya Pradesh,Gwalior,Gwalior,Rural Engineering Services,Village Road,1.58,10.99,9.34,81,81,2024-09-02,2024-11-22,26.189611,78.228158,Completed,0
MPLADS-RD-00132,Assam,Kamrup Metropolitan,Guwahati,Block Development Office,Urban Internal Road,2.22,26.04,25.46,45,49,2023-06-16,2023-08-04,26.155629,91.728529,Completed,0
MPLADS-RD-00133,Maharashtra,Nagpur,Nagpur,CPWD Division,Village Road,3.32,12.0,12.08,106,98,2020-05-07,2020-08-13,21.228505,78.951872,Completed,0
MPLADS-RD-00134,Tamil Nadu,Salem,Salem,Panchayati Raj Engineering Department,State Highway Link,14.1,196.29,199.57,212,226,2019-07-18,2020-02-29,11.781194,78.168607,Completed,0
MPLADS-RD-00135,Haryana,Karnal,Karnal,Zilla Parishad,Rural Link Road,0.88,14.51,13.92,53,69,2020-08-23,2020-10-31,29.713035,76.959887,Delayed,1
MPLADS-RD-00136,Chhattisgarh,Durg,Durg,Block Development Office,Village Road,2.82,5.76,5.47,88,83,2024-09-16,2024-12-08,21.090375,81.325798,Completed,0
MPLADS-RD-00137,Madhya Pradesh,Indore,Indore,Municipal Corporation,Urban Internal Road,2.38,25.93,27.36,70,78,2020-05-02,2020-07-19,22.799239,75.935391,Completed,0
MPLADS-RD-00138,Rajasthan,Kota,Kota,Zilla Parishad,Village Road,1.17,4.88,4.84,78,85,2025-05-18,2025-08-11,25.195457,75.737376,Completed,0
MPLADS-RD-00139,Bihar,Gaya,Gaya,CPWD Division,Village Road,1.86,7.0,8.56,80,212,2022-05-04,2022-12-02,24.838445,85.247551,Delayed,1
MPLADS-RD-00140,Jharkhand,Dhanbad,Dhanbad,Panchayati Raj Engineering Department,State Highway Link,6.42,98.49,109.36,86,112,2024-07-07,2024-10-27,23.81979,86.558909,Delayed,0
MPLADS-RD-00141,Madhya Pradesh,Bhopal,Bhopal,District Rural Development Agency (DRDA),Rural Link Road,3.08,19.89,18.96,92,86,2023-09-11,2023-12-06,23.223355,77.420716,Completed,0
MPLADS-RD-00142,Jharkhand,Dhanbad,Dhanbad,Municipal Corporation,District Road,3.58,44.03,22.97,95,70,2023-10-31,,23.735538,86.417212,Ongoing,0
MPLADS-RD-00143,Jharkhand,Dhanbad,Dhanbad,District Rural Development Agency (DRDA),State Highway Link,11.57,193.36,95.64,124,90,2022-01-31,,23.740169,86.389872,Ongoing,0
MPLADS-RD-00144,Haryana,Karnal,Karnal,CPWD Division,Village Road,1.23,5.45,2.63,59,44,2024-06-13,,29.667486,76.987504,Ongoing,0
MPLADS-RD-00145,West Bengal,Darjeeling,Darjeeling,Panchayati Raj Engineering Department,Village Road,3.32,12.33,12.57,76,74,2021-01-21,2021-04-05,27.099297,88.220168,Completed,0
MPLADS-RD-00146,Assam,Kamrup Metropolitan,Guwahati,Rural Engineering Services,Urban Internal Road,1.61,22.36,50.92,45,60,2022-02-14,2022-04-15,26.13972,91.806346,Delayed,1
MPLADS-RD-00147,Chhattisgarh,Bilaspur,Bilaspur,Block Development Office,Urban Internal Road,1.71,26.95,26.42,50,50,2025-06-11,2025-07-31,22.121796,82.08699,Completed,0
